Region,Province,year,Debt Ratio(%),Wide Range Debt Ratio(%),Debt Asset Ratio(%),Wide Range Debt Asset Ratio(%),"Balance of Municipal Bonds(CNY,B)","Limitation of Municipal Bonds(CNY,B)",Fiscal Self-sufficiency(%),"GDP(CNY,B)",Growth Rate of GDP(%),Per capita GDP(CNY),"Fixed Asset Investment(CNY,B)","Total Value of Imports and Exports(CNY,B)",Per Capita Disposable Income(CNY),"Industrial Increase Volume(CNY,B)","Budget Revenue(CNY,B)","Budget Expenditure(CNY,B)","Tax Revenue(CNY,B)",Share of Tax Revenue(%),"Revenue of Government-Managed Funds(CNY,B)","Expenditure of Government-Managed Funds(CNY,B)","Issuance（LGFV Bond）(CNY,B)","Net Financing（LGFV Bond）(CNY,B)","Issuance（Non-Standard Financing）(CNY,B)","Net Financing（Non-Standard Financing）(CNY,B)","Issuance(General Bond)(CNY,B)","Net Financing(General Bond)(CNY,B)","Issuance（Special Bond）(CNY,B)","Net Financing（Special Bond）(CNY,B)",Statistical_Division_Code,Province.Code,Annual_Real_Estate_Investment,Annual_Avg_Property_Price
Baiyin,Gansu,2016,23.85,29.94135357,300.96,377.887848,10.545,11.709,17.8657,44.22085,7.4,25813,2.74813,NA,25313.02514,11.277,2.87191,16.07503,1.87006,65.11555028,0.63186,0.78786,NA,NA,NA,NA,2.0005,0.76876,2.78066,0.05,620400,620000,4413.407,2748.13
Baiyin,Gansu,2017,24.63,29.63039573,309.78,372.3558066,11.096,13.652,18.6948,45.0520632,0.354023,26149.73049,2.91679,0.8296,27464.596,10.883,2.99441,16.01737,1.98424,66.26480676,0.58812,1.61397,NA,NA,NA,NA,1.80564,0.36096,1.33159,0.85,620400,620000,4339.873,2916.79
Baiyin,Gansu,2018,24.53,28.78036104,311.72,365.7213266,12.551,14.526,19.0205,51.15968,6.1,29542,3.10518,0.706,29470,12.903,3.107,16.335,2.169,69.81010621,0.797,1.233,NA,NA,NA,NA,NA,NA,NA,NA,620400,620000,4500.399,3105.18
Baiyin,Gansu,2019,32.44,32.21865929,350.93,350.9294513,15.669,17.695,16.36,48.6333086,6.233504,27990.39344,4.8861,0.692,31769,NA,3.112,19.022,2.018,64.84575835,1.353,3.065,NA,NA,NA,NA,NA,NA,NA,NA,620400,620000,5145.403,4886.1
Baiyin,Gansu,2020,39.1702,39.17023148,401.21,401.2144782,19.478,22.26143,16.5417,49.7265379,2.8,32699.76984,6.555,0.951,33103.00444,NA,3.33783,20.17823,2.01663,60.41739693,1.51693,3.85469,NA,NA,NA,NA,1.422,0.52439,3.142,2.5945,620400,620000,5151.56,6555
Baiyin,Gansu,2021,41.35,41.33290967,423.6,78.13198287,23.602,25.49,137.0762,57.1021982,8.436496,37919,6.97778,1.21,35586,NA,28.45386,20.75769,2.472,8.687749219,1.754,5.102,NA,NA,NA,NA,NA,NA,NA,NA,620400,620000,NA,NA
Baoding,Hebei,2016,4.71,4.933383363,40.05,41.98426948,16.364,NA,39.2285,347.71269,7.1,29992,73.57727,3.86638,25679.72,101.08,24.00998,61.20552,15.82974,65.92983418,16.79379,18.18739,NA,NA,NA,NA,NA,NA,5.85616,3.10477,130600,130000,4840.882,61913.87
Baoding,Hebei,2017,5.5358,5.674913191,37.27,38.20674774,19.097,NA,38.9371,344.97444,6.115722,29579.5483,62.91623,4.78367,27859,NA,25.8415,66.36722,16.97129,65.6745545,25.36476,25.30147,NA,NA,NA,NA,NA,NA,7.62365,5.3042299999999996,130600,130000,6120.19,51698.64
Baoding,Hebei,2018,11.2527,12.35509751,59.71,65.56474775,39.684,49.849,38.4792,352.661,7,32810,54.86565,5.026933,30283,NA,25.6705,66.71275,19.96219,77.76315226,40.73957,35.68334,NA,NA,NA,NA,NA,NA,10.99653,6.11923,130600,130000,7189,54865.65
Baoding,Hebei,2019,14.381,15.43625982,97.42,100.178479,54.248,65.748,41.4187,377.2202693,6.7,31856.3223,64.72844,4.96,32705,NA,29.69552,71.69591,19.27072,64.8943679,28.26375,36.27706,NA,NA,NA,NA,NA,NA,NA,NA,130600,130000,6886.228,64728.44
