Region,Province,year,Debt Ratio(%),Wide Range Debt Ratio(%),Debt Asset Ratio(%),Wide Range Debt Asset Ratio(%),"Balance of Municipal Bonds(CNY,B)","Limitation of Municipal Bonds(CNY,B)",Fiscal Self-sufficiency(%),"GDP(CNY,B)",Growth Rate of GDP(%),Per capita GDP(CNY),"Fixed Asset Investment(CNY,B)","Total Value of Imports and Exports(CNY,B)",Per Capita Disposable Income(CNY),"Industrial Increase Volume(CNY,B)","Budget Revenue(CNY,B)","Budget Expenditure(CNY,B)","Tax Revenue(CNY,B)",Share of Tax Revenue(%),"Revenue of Government-Managed Funds(CNY,B)","Expenditure of Government-Managed Funds(CNY,B)","Issuance（LGFV Bond）(CNY,B)","Net Financing（LGFV Bond）(CNY,B)","Issuance（Non-Standard Financing）(CNY,B)","Net Financing（Non-Standard Financing）(CNY,B)","Issuance(General Bond)(CNY,B)","Net Financing(General Bond)(CNY,B)","Issuance（Special Bond）(CNY,B)","Net Financing（Special Bond）(CNY,B)",Statistical_Division_Code,Province.Code,Annual_Real_Estate_Investment,Annual_Avg_Property_Price
Baise,Guangxi,2018,27.37,37.22616963051074,68.32,92.4789277264355,32.20834,32.952,26.5673,117.6773218,7.1,32170,9.086,3.294,30611,NA,8.4723,31.88998,5.09829,60.17598526964343,4.50716,5.30748,NA,NA,NA,NA,1.66482,-1.03659,3.35508,1.775,451000,450000,3743.562,9086
Baise,Guangxi,2019,31.6096,42.63172027396684,71.48,96.403347113032,39.75793,40.85004,19.6292,125.778,9,34194,10.992,3.795,32784,NA,9.40106,47.89331,5.10372,54.288771691702856,5.666449999999999,8.363620000000001,NA,NA,0.116517046,NA,4.24883,3.2602800000000003,4.013,4.007,451000,450000,4123.251,10991.62
Baise,Guangxi,2020,34.1582,48.72140370778194,73.92,105.411199542383,45.55778,46.37,18.8333,133.373,6.3,37332,15.361,NA,33964,43.348,9.4456,50.15364,4.882350000000001,51.68914626916237,7.891710000000001,13.10769,NA,NA,0.7947554819999999,NA,3.21389,0.3915700000000001,NA,NA,451000,450000,4433.672,15361
Baise,Guangxi,2021,31.4654,46.61408649859439,91.8076,136.00732307309588,49.36014,50.684,23.8244,156.871,9.8,43892,18.986,6.608,36375,55.251,10.29824,43.2256,5.38106,52.25222950717793,7.80656,13.123589999999998,NA,NA,0.079743874,NA,1.837,0.4933900000000001,4.277,2.979,451000,450000,4714.102,18986
Baiyin,Gansu,2016,23.85,29.941353569911023,300.96,377.8878479500652,10.545,11.709,17.8657,44.22085,7.4,25813,2.74813,NA,25313.02514,11.277,2.87191,16.07503,1.87006,65.11555027838617,0.63186,0.78786,NA,NA,NA,NA,2.0005,0.76876,2.78066,0.05,620400,620000,4413.407,2748.13
Baiyin,Gansu,2017,24.63,29.6303957278476,309.78,372.3558066219623,11.096,13.652,18.6948,45.0520632,0.354023,26149.730491,2.91679,0.8295999999999999,27464.596,10.883,2.99441,16.01737,1.98424,66.26480675658979,0.58812,1.61397,NA,NA,NA,NA,1.80564,0.36096000000000006,1.3315899999999998,0.85,620400,620000,4339.873,2916.79
Baiyin,Gansu,2018,24.53,28.78036103767655,311.72,365.7213266199702,12.551,14.526,19.0205,51.15968,6.1,29542,3.10518,0.706,29470,12.903,3.107,16.335,2.169,69.81010621177985,0.7969999999999999,1.233,NA,NA,NA,NA,NA,NA,NA,NA,620400,620000,4500.399,3105.18
Baiyin,Gansu,2019,32.44,32.21865929146347,350.93,350.929451287794,15.669,17.695,16.36,48.6333086,6.233504,27990.39344,4.8861,0.692,31769,NA,3.112,19.022,2.018,64.84575835475577,1.353,3.065,NA,NA,NA,NA,NA,NA,NA,NA,620400,620000,5145.403,4886.1
Baiyin,Gansu,2020,39.1702,39.17023147513352,401.21,401.2144781616393,19.478,22.26143,16.5417,49.7265379,2.8,32699.769843,6.555,0.951,33103.004441,NA,3.3378300000000003,20.17823,2.01663,60.417396931539344,1.51693,3.85469,NA,NA,NA,NA,1.4220000000000002,0.52439,3.1420000000000003,2.5945,620400,620000,5151.56,6555
Baiyin,Gansu,2021,41.35,41.33290966721488,423.6,78.13198286803501,23.602,25.49,137.0762,57.1021982,8.436496,37919,6.97778,1.21,35586,NA,28.45386,20.75769,2.472,8.687749219262344,1.754,5.102,NA,NA,NA,NA,NA,NA,NA,NA,620400,620000,NA,NA
