Region,Debt Ratio(%),Wide Range Debt Ratio(%),Debt Asset Ratio(%),Wide Range Debt Asset Ratio(%),"Balance of Municipal Bonds(CNY,B)","Limitation of Municipal Bonds(CNY,B)",Fiscal Self-sufficiency(%),Province
Nanyang,23.63,29.52041958799886,247.05,308.597010788191,107.656,112.97,33.08,Henan
Kaifeng,23.47,69.63847724788963,176.55,523.9172497880401,62.354,66.079,43.44,Henan
Zhumadian,23.07,38.38733682646991,205.58,342.01689137054154,75.159,78.15700000000001,37.46,Henan
Zhengzhou,22.76,110.80593830595087,178.27,868.025595582836,294.345,336.184,78.04,Henan
Zhoukou,21.58,47.600770013768354,276.04,608.9393404969229,78.045,83.44800000000001,25.67,Henan
Pingdingshan,21.51,40.37296736308918,189.82,356.26609094679264,61.078,64.251,56.75,Henan
Luohe,21.35,48.52695996879568,293.48,666.9752877773313,38.71,40.385000000000005,53.42,Henan
Jiaozuo,21.08,36.46068414605016,203.73,352.4748354713414,47.099,50.075,59.43,Henan
Sanmenxia,19.45,39.04100934991678,173.58,348.3641712030659,32.608999999999995,34.551,50.44,Henan
Xinxiang,18.92,28.9596641555494,193.41,296.08245754712084,65.529,76.83200000000001,47.62,Henan
Xuchang,18.08,35.593599366328604,235.05,462.8699781541025,67.724,71.697,58.76,Henan
Jiyuan,15.91,38.9723657245789,191.85,470.08229644628966,12.823,14.068,79.36,Henan
Luoyang,13.66,39.24423395416373,139.72,401.4399360790736,77.517,89.89500000000001,63.43,Henan
Hubei,25.8679,75.49378488054636,NA,559.4611408955288,1390.01,NA,41.17,Hubei
Shennongjia,67.65,67.64542936288089,89.47,89.45349846698241,2.442,2.593,27.4394,Hubei
Enshi,36.8518,45.14059231681643,374.3,458.4866016438434,51.67366,54.63975000000001,18.11,Hubei
Wuhan,33.3669,106.8543670703636,220.4,705.8231999771584,629.51334,648.95669,67.5607,Hubei
Ezhou,27.8,55.54339665042109,273.17,545.7027599587444,35.159,35.929,62.62,Hubei
Shiyan,26.16,70.2124419634049,269.63,723.6258418040426,60.295,63.651,28.32,Hubei
Jingzhou,23.5,55.01103391158709,245.49,597.5576835807952,36.60814,39.29079,31.3734,Hubei
Huanggang,22.82,49.302703684024166,252,544.5293386387862,62.699,67.745,25.16,Hubei
Huangshi,20.16,126.13776571412826,301.03,1883.2200532620304,41.165,44.534,48.88,Hubei
Xiaogan,19.74,52.96493267419886,399.53,1071.948320736608,54.822,58.849,32.03,Hubei
Xianning,19.52,44.5750383670884,217.12,301.84857931545423,36.60814,39.29079,31.3734,Hubei
Xiangyang,17.57,52.631726420691486,277.08,829.8909674019752,102.407,107.545,35.04,Hubei
Suizhou,17.18,38.356888036710366,88.8865,198.41211374944135,22.83306,24.1166,27.9831,Hubei
Yichang,16.83,47.85974528954566,424.2,1206.566829190131,92.59200000000001,98.493,39.01,Hubei
Tianmen,15.67,33.556508524827066,88.65,189.87698844016435,11.438,12.143,24.78,Hubei
Xiantao,11.09,29.267663009139905,325.55,859.2361663598957,11.234,12.291,34.03,Hubei
Qianjiang,10.67,32.158396566356515,81.52,245.71908234712168,9.46,10.244,33.45,Hubei
Jingmen,NA,NA,220.88,905.595402314225,39.01258967,41.18002,34.151,Hubei
Hunan,31.6519,87.7620695960211,NA,665.5777812842739,1540.508,1559.191,34.4444,Hunan
Xiangxi,60.28,80.29185390368195,425.39,566.5825685477773,49.277,49.863,21.11,Hunan
Zhangjiajie,59.75,80.73493297108374,1000.17,1351.4375329773948,35.397000000000006,35.448,NA,Hunan
Huaihua,45.54,71.72785562366056,715.22,1126.456095961944,85.509,85.65599999999999,23.56,Hunan
Xiangtan,35.58,81.59902034112191,753.14,1727.353223973868,95.972,96.15,45.64,Hunan
Chenzhou,34.47,71.91876120320416,135.69,283.1436071146556,102.724,103.537,35.28,Hunan
Yongzhou,31.43,51.503772347353824,477.69,782.8131694626055,75.751,76.453,30.22,Hunan
Loudi,30.23,66.204873875149,636.05,1392.8939498647917,58.32899999999999,58.547,25.56,Hunan
Shaoyang,29.77,56.307714916215886,274.93,519.9257041313368,77.389,77.569,20.08,Hunan
Yiyang,29.08,52.8957215109629,332.56,604.8890032523598,61.30499999999999,61.40599999999999,24.98,Hunan
Zhuzhou,28.06,96.42741899748395,531.65,1827.1096449607085,101.482,101.629,35.31,Hunan
Hengyang,27.52,67.0150450876081,268.68,654.2473556237379,112.553,113.417,32.67,Hunan
Changde,21.59,66.13950334204702,86.26,264.1982908152475,92.305,92.481,32.97,Hunan
Changsha,20.55,117.69249518533933,125.92,721.281307811731,286.952,287.118,77.61,Hunan
Yueyang,19.57,67.17566562025998,241.95,830.4048935035297,92.198,92.634,32.44,Hunan
Jiangsu,16.8415,94.47380742753997,72.6199,407.3683980929771,2069.405,2259.414,62.1268,Jiangsu
Zhenjiang,43.62,113.84652369046093,306.7,800.4436330226749,218.852,224.704,56.75,Jiangsu
Suqian,21.94,63.21495099779182,139.04,400.6205138460946,90.215,92.977,43.66,Jiangsu
Yancheng,21.69,125.22046804210432,97.49,562.9335299517353,153.533,163.621,40.54,Jiangsu
Xuzhou,17.99,79.46788629836341,112.5,496.969697548708,152.154,162.924,50.15,Jiangsu
Nanjing,17.67,140.21454047100724,95.16,754.9362857378976,298.82,329.97,85.21,Jiangsu
Nantong,17.39,98.4924239724366,112.9,639.4949264177125,197.877,216.82800000000003,53.43,Jiangsu
Lianyungang,16.97,92.43739559593062,128.3,698.9400061991581,67.96000000000001,72.86,39.72,Jiangsu
Changzhou,16.83,101.63229056323809,77.94,470.5704150625328,160.764,164.919,83.17,Jiangsu
Huai'an,15.85,131.11128055711427,91.16,754.3185237652187,75.147,81.387,45.44,Jiangsu
Taizhou,15.64,111.07043859455744,105.35,748.0063977966105,100.145,108.606,59.79,Jiangsu
Yangzhou,15.55,86.07145136418261,111.42,616.7598968397225,110.48,120.74,46.6,Jiangsu
Wuxi,12.62,59.300474480439455,82.43,387.2823379685569,187.436,193.738,82.99,Jiangsu
Suzhou,7.4,61.88235066119145,42.71,357.2388527526769,177.241,211.076,89.98,Jiangsu
Jiangxi,33.8576,108.99817251389914,NA,656.23144220648,1085.95,1179.444,40.4525,Jiangxi
Pingxiang,41.95,153.7001728739238,454.47,1665.2000148534082,48.678,52.04600000000001,34.9087,Jiangxi
Jingdezhen,39.253,150.80159143413383,145.96,560.7481291938489,46.797,48.975,37.9792,Jiangxi
Fuzhou,38.2562,85.50276595037573,238.84,533.8078920817932,74.432,79.663,25.88,Jiangxi
Ganzhou,35.164,137.036812866742,260.95,1017.102838138052,159.06900000000002,173.357,30.9596,Jiangxi
Shangrao,33.79,140.690687037511,206.55,860.0738213669192,111.819,123.348,31.6075,Jiangxi
Ji'an,32.93,78.15912927332359,312.27,734.8422316148772,90.557,97.419,31.264,Jiangxi
Yingtan,31.9,98.09360391345804,194.1,587.0958171248416,39.476,42.005,48.1134,Jiangxi
Jiujiang,28.7968,62.09464956702677,253.43,543.4260290080199,115.953,129.981,45.9753,Jiangxi
Xinyu,27.6445,49.83314988177134,215.69,410.5169646346053,34.614999999999995,39.544,51.716,Jiangxi
Yichun,26.8381,96.67316179164844,184.63,668.8263016310632,93.212,103.293,40.7007,Jiangxi
Nanchang,20.5697,108.03957720178803,323.75,1101.4680866552153,148.174,160.792,59.4125,Jiangxi
Jilin,54.8391,90.6857614639081,133.624,220.97006103405707,716.76,754.9100000000001,21.0435,Jilin
Yanbian,76.59,76.58516814285885,129.24,129.23958961979483,64.245,66.70599999999999,14.99,Jilin
Changchun,34.4,88.43702640335675,195.68,503.122938306662,231.985,246.801,47.07,Jilin
Tonghua,33.74,38.00141428842704,NA,NA,19.934,20.113,NA,Jilin
Jilin,33.63,95.9898535522732,NA,NA,51.042,53.092,NA,Jilin
Baishan,32.34,32.33904311872416,717.74,717.7386317083162,17.52,18.889,14.6,Jilin
Liaoyuan,26.83,26.827807828187066,452.39,452.4065971053517,13.441,14.35,13.91,Jilin
Baicheng,25.16,25.159169189019934,545.16,545.1564266867696,14.463,15.031,10.88,Jilin
