Region,Province,Debt Ratio(%),Wide Range Debt Ratio(%),Debt Asset Ratio(%),Wide Range Debt Asset Ratio(%),"Balance of Municipal Bonds(CNY,B)","Limitation of Municipal Bonds(CNY,B)",Fiscal Self-sufficiency(%),Statistical_Division_Code,Province.Code
Kaizhou,Chongqing,23.49,59.41584611017628,298.53,754.9917965512475,15.553999999999998,15.57,33.89,500154,500000
Karamay,Xinjiang,22.26,31.371870824896547,226.87,319.6992897907406,25.825,28.778,81.58,650200,650000
Kashi,Xinjiang,44,44.00245513532472,490.73,490.7105606258149,60.220000000000006,62.959,10.23,653100,650000
Kekedala,Xinjiang,NA,NA,NA,NA,NA,NA,NA,659008,650000
Kizilsu Kirgiz,Xinjiang,102.08,102.08640383198232,944.33,944.3971026842778,22.165,22.734,9.42,653000,650000
Kunming,Yunnan,29.58,128.69619837511615,168.2,731.8520902915583,223.056,NA,58.53,530100,530000
Kunyu,Xinjiang,NA,NA,NA,NA,NA,NA,NA,659009,650000
Laibin,Guangxi,34.28,51.72671299306504,611.05,922.0266129497628,30.895,31.128,22.04,451300,450000
Langfang,Hebei,26.91,29.927181810877062,280.95,312.44328348556365,95.943,103.693,56.46,131000,130000
Lanzhou,Gansu,29.81,287.4395939079289,321.92,3104.381039573487,99.66,107.952,45.61,620100,620000
Ledong,Hainan,NA,NA,NA,NA,NA,NA,13.26,469027,460000
Leshan,Sichuan,27.84,58.6126064477588,119.41,251.4360043340889,64.268,65.874,46.99,511100,510000
Lhasa,Tibet,NA,NA,NA,NA,9.194,9.968,NA,540100,540000
Liangping,Chongqing,27.81,48.88648739216555,139.39,245.0301130090317,16.051,16.051,43.27,500155,500000
Liangshan,Sichuan,21.83,26.71852084536072,169.28,207.2094066126388,45.43,47.837,28.53,513400,510000
Lianyungang,Jiangsu,16.97,92.43739559593062,128.3,698.9400061991581,67.96000000000001,72.86,39.72,320700,320000
Liaocheng,Shandong,35.05,43.45078514342501,120.5,149.3719811050171,97.438,98.983,45.15,371500,370000
Liaoyang,Liaoning,41.66,41.65732226956717,368.77,368.7710939051023,37.15,37.901,53.21,211000,210000
Liaoyuan,Jilin,26.83,26.827807828187066,452.39,452.4065971053517,13.441,14.35,13.91,220400,220000
Lijiang,Yunnan,51.56,53.34669594504111,598.8,619.5970435572204,31.97,NA,31.05,530700,530000
Lincang,Yunnan,45.61,51.21576826115732,1093.22,1227.6074777268152,45.62,NA,16.96,530900,530000
Linfen,Shanxi,NA,NA,NA,NA,NA,NA,40,141000,140000
Lingao,Hainan,NA,NA,NA,NA,NA,NA,10.7,469024,460000
Lingshui,Hainan,NA,NA,NA,NA,NA,NA,23.92,469028,460000
Linxia,Gansu,NA,NA,NA,NA,NA,NA,6.52,622900,620000
Linyi,Shandong,25.32,48.05979714696028,104.57,198.466045746952,146.325,149.208,48.03,371300,370000
Lishui,Zhejiang,55.24,101.37778909253524,100.17,183.83736056005117,101.14,101.148,28.14,331100,330000
Liuzhou,Guangxi,24.56,118.8632874346159,504.93,2444.1577931884262,76.345,78.27000000000001,41.75,450200,450000
Longnan,Gansu,NA,NA,NA,NA,NA,NA,8.73,621200,620000
Longyan,Fujian,29.5948,82.7539442188012,390.51,1091.950293504124,98.09106316,109.75744,45.6879,350800,350000
Loudi,Hunan,30.23,66.204873875149,636.05,1392.8939498647917,58.32899999999999,58.547,25.56,431300,430000
Lu'an,Anhui,47.62,95.62422133738404,286.47,575.2260055603169,95.463,100.6,30.52,341500,340000
Lüliang,Shanxi,NA,NA,NA,NA,NA,NA,61.96,141100,140000
Luohe,Henan,21.35,48.52695996879568,293.48,666.9752877773313,38.71,40.385000000000005,53.42,411100,410000
Luoyang,Henan,13.66,39.24423395416373,139.72,401.4399360790736,77.517,89.89500000000001,63.43,410300,410000
Lupanshui,Guizhou,50.0166,119.77705347690846,373.3,894.279028064702,75.204,76.126,29.4293,520200,520000
Luzhou,Sichuan,33.35,79.37260036730449,123.84,294.71120717555124,86.77000000000001,88.92,41.97,510500,510000
Ma'anshan,Anhui,26.55,88.4579922118796,326.65,1088.8625978831055,66.92999999999999,69.12,64.9231,340500,340000
Maoming,Guangdong,17.2539,18.77673264286245,304.27,331.0817233549369,67.37,67.51,27.488,440900,440000
Meishan,Sichuan,38.89,104.9578739167538,149.13,402.4845307610551,63.603,67.772,50.24,511400,510000
Meizhou,Guangdong,54.0464,58.94618870168637,648.62,707.4240295743808,71.24456,71.33943000000001,88.4534,441400,440000
Mentougou,Beijing,74.35,74.34766629915472,142.15,142.15445154943433,20.23,22.489,32.29,110109,110000
Mianyang,Sichuan,23.44,66.54783081883627,101.72,288.7797340425097,85.019,86.997,31.87,510700,510000
Minhang,Shanghai,NA,17.4795862410151,74.81,82.75356477128298,45.510000000000005,62.970000000000006,65.3,310112,310000
Miyun,Beijing,57.49,57.4850136239782,304.41,304.3860914730919,21.097,22.208,28.83,110118,110000
Mudanjiang,Heilongjiang,48.9,68.03176674671059,550,765.2127154001215,45.264,45.968,23.23,231000,230000
NA,Anhui,29.5351,74.45898421993094,NA,489.353369234094,1330.41,1437.1,42.8345,      340000,340000
NA,Beijing,25.3908,44.75843864339872,116.2055,204.8452043781624,1056.533,1220.24,76.5061,      110000,110000
NA,Chongqing,34.5738,105.02926334870956,NA,773.2247446436644,1007.1,1028.1,42.9894,      500000,500000
NA,Fujian,22.4096,53.81753118042454,144.7954,347.7314212186691,1190.172,1285.72,58.5499,      350000,350000
NA,Gansu,0.0054,79.02104324388124,133.36,223.1819969240968,0.060875,NA,21.29,      620000,620000
NA,Guangdong,19.4258,32.32758644460968,94.6462,157.50644943574693,2508.228,2625.807,71.7438,      440000,440000
NA,Guangxi,36.9347,96.43561165292935,117.2302,306.0847274394405,971.416,NA,NA,      450000,450000
NA,Guizhou,61.8417,135.23067130169483,305.14,667.2540732318643,1247.011,1296.235,32.25,      520000,520000
NA,Hainan,51.137,61.12217857822717,121.3182,145.00734229711802,348.663,370.34,39.7236,      460000,460000
NA,Hebei,37.17,56.66498803968408,257.16,392.0407960408295,1574.909,1715.91,43.7423,      130000,130000
NA,Heilongjiang,45.8518,54.584423862513056,NA,586.9662026359777,729.0899999999999,741.0600000000001,23.672,      230000,230000
NA,Henan,24.6211,57.56899627784834,NA,538.4562421081038,1510.38,1643.4,40.0353,      410000,410000
